spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_target_value,param_name,param_package,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
1205,1,0,0,mg/kg,10717,0.01,Ethirimol,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10719,0.01,Ethofumesate,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10726,0.01,Ethoxyquin dimer,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10727,0.01,Diniconazole,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10728,0.01,Etofenprox,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10729,0.01,Dinitramine,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10731,0.01,Dinocap,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10735,0.01,Dioxabenzophos,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10739,0.01,Dioxathion,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10754,0.01,Diuron,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
