Sample;SKU;Name;category;Date;LOT;Parameter;Parameter_ID;Result;Parameter_Unit;Rule_Unit;Rating;Target;"Testing Reason"
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Calcium_10793;5289;<10;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Chrome_20473;5290;<0,080;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Cobalt_32293;5291;<0,050;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Iron_10833;5292;4,2;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Potassium_10843;5293;<10;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Copper_10933;5294;87;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Lithium_27653;5295;<0,50;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Magnesium_631;5296;12;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Mangan_10863;5297;<0,50;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Molybdenum_27043;5298;<0,050;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Sodium_10873;5299;<10;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Nickel_10893;5300;<0,040;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"Phosphorus, total_7003";5301;<10,0;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Mercury_10943;5302;<0,010;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Sulphur_31843;5303;<50,0;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Selenium_10903;5304;<0,10;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Silver_32263;5305;<0,050;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Strontium_30353;5306;<0,50;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Tellurium_30373;5307;<0,050;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Titan_29883;5308;<0,50;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Uranium_32509;5309;<0,010;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Vanadium_30383;5310;<0,050;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Zinc_10913;5311;0,55;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Tin_10923;5312;0,13;mg/kg;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"Fatty acid, saturated";5444;1,9;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"Fatty acid, monounsaturated";5445;5;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"Fatty acid, polyunsaturated";5446;56,2;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"Fatty acid, omega-3";5448;50,6;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"Fatty acids, omega-6";5449;5,6;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"Fatty acids, omega-9";5450;4,7;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 4:0 Butyric acid";5451;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 6:0 Caproic acid";5452;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 8:0 Caprylic acid";5453;0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 10:0 Capric acid";5454;0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 11:0 Undecanoic acid";5455;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 12:0 Lauric acid";5456;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 13:0 Tridecanoic acid";5457;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 14:0 Myristic acid";5458;0,2;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 14:1 Myristoleic acid";5459;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 15:0 Pentadecanoic acid";5460;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 15:1 cis 10-pentadecenoic acid";5461;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 16:0 Palmitic acid";5462;0,8;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 16:1 Palmitoleic acid";5463;0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 16:2 Hexadecadienoic acid";5464;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 16:3 Hexadecatrienoic acid";5465;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 16:4 Hexadecatetraenoic acid";5466;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 17:0 Heptadecanoic acid";5467;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 17:1 Heptadecenoic acid";5468;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 18:0 Stearic acid";5469;0,2;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 18:1 Oleic acid";5470;4,6;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 18:1 Petroselinic acid";5471;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 18:1 cis 11-octadecenoic acid";5472;0,2;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 18:2 Linoleic acid (o-6)";5473;1,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 18:3 Linolenic acid (o-4)";5475;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 18:4 Stearidonic acid (o-3)";5477;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 20:0 Arachidic acid";5478;0,5;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 20:1 Eicosenoic acid";5479;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 20:2 Eicosadienoic acid (o-6)";5480;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 20:3 Eicosatrienoic acid (o-6)";5481;0,2;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 20:3 Eicosatrienoic acid (o-3)";5482;0,5;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 20:4 Eicosatetraenoic acid (o-3)";5483;1,5;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 20:4 Arachidonic acid (o-6)";5484;4,3;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 21:0 Heneicosanoic acid";5486;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 22:0 Behenic acid";5487;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 22:1 Docosenoic acid (incl. isomers)";5488;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"thereof C 22:1 erucic acid";5489;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 22:2 Docosadienoic acid (o-6)";5490;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 22:4 Docosatetraenoic acid (o-6)";5491;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 22:5 Docosapentaenoic acid (o-3)";5492;0,2;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 23:0 Tricosanoic acid";5494;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 24:0 Lignoceric acid";5495;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"C 24:1 Nervonic acid";5496;<0,1;"g/100 g fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"Anisidine value";5500;6;;;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"Number of peroxides";5501;6,8;"meq O2/kg fat";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Enterobacteriaceae;5548;<10;"cfu/ g";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"Staphylococci, coag. positive";5550;<10;"cfu/ g";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Yeasts;5553;<10;"cfu/ g";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;Molds;5554;<10;"cfu/ g";;"not rated";;
25-02121;8130;"EPA 2:1 DHA Greencaps KD NUTRA";;03.05.2024;L04423;"Bile-tolerant gram-negative bacteria";11264;negativ;;;"not rated";;
