id,parametertype_id,spec_id,text,column,operator,value,linker,operator2,value2,color,show,DDF_type,inverse,regex_filter,u_created,u_modified,translations,DDF_unit,name,DDF_target_value,DDF_custom_color
81566,11416,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Prochloraz metabolite BTS44595,0.01,
81567,11417,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Prochloraz metabolite BTS44596,0.01,
81568,11425,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Prothioconazole,0.01,
81569,11888,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Chlorothalonil-4-hydroxy,0.01,
81570,10513,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Benomyl,0.01,
81571,10533,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Ametryn,0.01,
81572,10548,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Azaconazole,0.01,
81573,10549,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Biphenyl,0.01,
81574,10550,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Azadirachtin,0.01,
81575,10551,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Azamethiphos,0.01,
81576,10575,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,"Chlordan, Trans",0.01,
81577,10579,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Buprofezin,0.01,
81578,10585,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Butamifos,0.01,
81579,10601,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Captan,0.01,
81580,10602,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Chlorpyrifos-ethyl,0.01,
81581,10604,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Chlorpyrifos-methyl,0.01,
81582,10613,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Chloride ion,0.01,
81583,10622,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Chlorantraniliprole,0.01,
81584,10626,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Clethodim sulfone,0.01,
81585,10642,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Coumaphos,0.01,
81586,10643,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Dial,0.01,
81587,10645,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Crotoxyphos,0.01,
81588,10657,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Dichlorobenzamide,0.01,
81589,10678,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Didecyldimethylammonium chloride - C8,0.01,
81590,10679,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Cyromazine,0.01,
81591,10682,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,"DDD-p,p",0.01,
81592,10683,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Diethofencarb,0.01,
81593,10690,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Difenoconazole,0.01,
