id,name,parametertype_id,spec_id,text,column,operator,value,linker,operator2,value2,color,show,DDF_type,inverse,regex_filter,u_created,u_modified,translations,DDF_unit,DDF_target_value,DDF_custom_color
236360,Methabenzthiazuron,10935,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236361,Methamidophos,10939,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236362,Methidathion,10941,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236363,Methiocarb sulfone,10945,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236364,Novaluron,10946,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236365,Methiocarb sulfoxide,10947,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236366,Methoprotryne,10951,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236367,Parathion ethyl,10977,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236368,Mirex,10979,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236369,Molinates,10981,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236370,Pentachloroanisole,10999,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236371,Profluralin,11009,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236372,Permethrin,11010,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236373,Propisochlorine,11032,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236374,Phosmet,11039,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236375,Picolinfen,11047,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236376,Piperophos,11058,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236377,Simazine,11066,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236378,Pyridaphenthione,11078,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236379,Sedaxan,11118,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236380,Trichlorfon,11133,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236381,Tolfenpyrad,11169,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236382,Tribufos,11181,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236383,Prochloraz metabolite BTS44595,11416,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236384,Prochloraz metabolite BTS44596,11417,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236385,Prothioconazole,11425,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236386,Chlorothalonil-4-hydroxy,11888,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236387,Benomyl,10513,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236388,Ametryn,10533,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236389,Azaconazole,10548,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236390,Biphenyl,10549,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236391,Azadirachtin,10550,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236392,Azamethiphos,10551,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236393,"Chlordan, Trans",10575,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236394,Buprofezin,10579,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236395,Butamifos,10585,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236396,Captan,10601,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236397,Chlorpyrifos-ethyl,10602,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236398,Chlorpyrifos-methyl,10604,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236399,Chloride ion,10613,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236400,Chlorantraniliprole,10622,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236401,Clethodim sulfone,10626,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236402,Coumaphos,10642,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236403,Dial,10643,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236404,Crotoxyphos,10645,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236405,Dichlorobenzamide,10657,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236406,Didecyldimethylammonium chloride - C8,10678,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236407,Cyromazine,10679,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236408,"DDD-p,p",10682,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236409,Diethofencarb,10683,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236410,Difenoconazole,10690,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236411,Diflufenican,10700,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236412,"Endrin, Keto",10705,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236413,Ethalfluralin,10711,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236414,"Dimethylphenylmethylformamidine, 2,4",10718,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236415,Diphenamide,10740,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236416,Diphenylamine,10742,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236417,Fenamidone,10743,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236418,Dipropetry,10744,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236419,Disulfoton,10746,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236420,Fenamiphos sulfone,10747,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236421,Disulfoton sulfone,10748,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236422,Fenchlorphos,10759,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236423,EPN,10760,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236424,EPTC,10761,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236425,Fenobucarb,10774,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236426,Fenpyroximate,10791,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236427,Flupyradifurone,10792,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236428,Flurenol butyl,10795,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236429,Fipronil sulfone,10819,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236430,Formothion,10825,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236431,Fluazinam,10830,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236432,Furalaxyl,10831,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236433,Fluazuron,10832,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236434,Flufenacet oxalate,10842,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236435,Heptachlor,10854,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236436,Isofenphos-methyl,10855,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236437,Isofetamide,10856,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236438,Isoprocarb,10858,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236439,Isopyrazam,10865,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236440,Isoxaben,10866,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236441,Linuron,10892,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236442,MGK-264,10895,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236443,Iprobenphos,10897,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236444,Malaoxon,10898,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236445,Mandestrobin,10901,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236446,Mefenpyr diethyl,10908,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236447,Isodrin,10915,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236448,Monuron,10922,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236449,Morphothion,10924,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236450,Metaflumi zone,10925,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236451,Metazachlor,10931,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236452,Octachlorostyrene,10950,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236453,Methoxychlorine,10955,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236454,Oxadiazone,10956,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236455,Metobromuron,10960,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236456,Oxathiapiproline,10961,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236457,Metolachlor/S-metolachlor,10962,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236458,Oxydemeton-methyl,10965,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236459,Metosulam,10966,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236460,Metrafenone,10969,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236461,Paraoxone ethyl,10972,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236462,Metsulfuron-methyl,10973,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236463,Mevinphos,10974,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236464,Paraoxon-methyl,10975,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236465,Parathion-methyl,10980,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236466,Pencycuron,10990,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236467,Pencycuron-PB-amine,10992,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236468,Pendimethalin,10994,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236469,Prallethrin,10997,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236470,Pentachloroaniline,10998,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236471,Pretilachlor,11000,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236472,Pethoxamide,11014,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236473,Phenothrin,11020,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236474,Phenthoate,11022,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236475,Propiconazole,11030,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236476,Phorate sulfone,11033,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236477,"Propoxycarbazone, 2-hydroxy",11038,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236478,Picoxystrobin,11049,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
236479,Prothoat,11052,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992791,1770992791,,mg/kg,0.01,
